Games,MONTESSORI,EASTSIDE,ENLOE,CLOVIS,JONASCLARKE,CHOATE,BASISPEORIA,AMES,RMHS,BROOKFIELD,BMIRALOMA,MINNETONKA,PRISMS,ARCADIA,NAPERVILLENORTH,WWPN,MSJ,BENLOE,CARMEL,BASISSANANTONIO,CBLAIR,PUNAHOU,SARATOGA,FOSSILRIDGE,DUPONT,DULLES,MIRALOMA,BLEXINGTON,DINTERLAKE,IOLANI,MSMS,LYNBROOK,NORTHHOLLYWOOD,LAKESIDE,WAYZATA,MIDDLETON,CUPERTINO,BUCHHOLZ,TESLASTEM,DAVIDSON,YOUNGMAGNET,FOOTHILL,LADUE,NCSSM,GREENHOPE,JPSTEVENS,COLLIERVILLE,BBUCHHOLZ,WESTMINSTER,SHEN,BLAIR,UNIVERSITY,NISKAYUNA,MARQUETTE,EASTLYME,CARCADIA,LEXINGTON,INTERLAKE,CENTENNIAL,GLASTONBURY,BAHSBROWARD,BASISSILICONVALLEY,WESTVIEW,PEDDIE
,0,1319.83,0,0,0,0,0,1314.94,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1356.38,0,0,0,0,0,0,1346.4,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,0,0,0,0,0,1440.84,0,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1314.94,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1356.38,0,0,0,0,0,0,1346.4,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,0,0,0,0,0,1440.84,1323.05,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1314.94,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1356.38,0,0,0,0,0,0,1399.48,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,0,0,0,0,0,1440.84,1323.05,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1314.94,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1403.16,0,0,0,0,0,0,1409.31,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,0,0,0,0,0,1440.84,1323.05,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1314.94,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1417.54,0,0,0,0,0,0,1409.31,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,0,0,0,0,0,1440.84,1323.05,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1314.94,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1417.54,0,0,0,0,0,0,1409.31,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,1314.43,0,0,0,0,1440.84,1323.05,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1335.27,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1417.54,0,0,0,0,0,0,1409.31,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,1314.43,0,0,0,0,1440.84,1323.05,0,0,0,0,0,0
,0,1342.88,0,0,0,0,0,1335.27,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1417.54,1318.99,0,0,0,0,0,1409.31,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,1314.43,0,0,0,0,1451.44,1323.05,0,0,0,0,0,0
,0,1354.71,0,0,0,0,0,1335.27,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1417.54,1318.99,0,0,0,0,0,1409.31,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,1314.43,0,0,0,0,1490.04,1323.05,0,0,0,0,0,0
,0,1354.71,0,0,0,0,0,1335.27,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1417.54,1318.99,0,0,0,0,0,1409.31,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,1314.43,0,0,0,0,1490.04,1323.05,0,0,0,0,0,0
,0,1354.71,0,0,0,0,0,1335.27,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1393.06,1350.64,0,0,0,0,0,1433.78,0,1314.37,0,0,0,1309.56,0,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1314.04,1314.43,0,0,0,0,1505.25,1346.26,0,0,0,0,0,0
,0,1372.9,0,0,0,0,0,1354.46,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1393.06,1393.99,0,0,0,0,0,1452.82,0,1314.37,0,0,0,1333.73,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1314.04,1314.43,0,0,0,0,1472.73,1327.23,0,0,0,0,0,0
,0,1366.93,0,0,0,0,0,1385.15,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1366.85,1366.48,0,0,0,0,0,1473.45,0,1314.37,0,0,0,1379.54,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1314.04,1314.43,0,0,0,0,1492.88,1304.95,0,0,0,0,0,0
,0,1380.69,0,0,0,0,0,1385.15,0,0,0,0,0,0,1371.47,0,0,0,0,0,0,0,0,0,0,1366.85,1345.11,0,0,0,0,0,1500.49,0,1314.37,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1314.04,1314.43,0,0,0,0,1499.5,1304.95,0,0,0,0,0,0
,0,1380.69,0,0,0,0,0,1385.15,0,0,0,0,0,0,1371.47,0,0,0,0,0,0,0,0,0,0,1333.73,1345.11,0,0,0,0,0,1509.67,0,1314.37,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1314.04,1314.43,0,0,0,0,1505.65,1324.04,0,0,0,0,0,0
,0,1380.69,0,0,0,0,0,1385.15,0,0,0,0,0,0,1387.73,0,0,0,0,0,0,0,0,0,0,1333.73,1364.28,0,0,0,0,0,1517.65,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1306.99,1314.43,0,0,0,0,1510.93,1324.04,0,0,0,0,0,0
,0,1388.69,0,0,0,0,0,1400.71,0,0,0,0,0,0,1406.86,0,0,0,0,0,0,0,0,0,0,1333.73,1364.28,0,0,0,0,0,1517.65,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1306.99,1314.43,0,0,0,0,1510.93,1324.04,0,0,0,0,0,0
,0,1388.69,0,0,0,0,0,1419.92,0,0,0,0,0,0,1406.86,0,0,0,0,0,0,0,0,0,0,1333.73,1381.59,0,0,0,0,0,1524.21,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1326.01,1314.43,0,0,0,0,1516,1315.81,0,0,0,0,0,0
,0,1403,0,0,0,0,0,1427.45,0,0,0,0,0,0,1406.86,0,0,0,0,0,0,0,0,0,0,1333.73,1381.59,0,0,0,0,0,1529.09,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1326.01,1314.43,0,0,0,0,1516,1330.87,0,0,0,0,0,0
,0,1403,0,0,0,0,0,1427.45,0,0,0,0,0,0,1424.68,0,0,0,0,0,0,0,0,0,0,1303.15,1394.41,0,0,0,0,0,1529.09,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1342.23,1314.43,0,0,0,0,1521.46,1330.87,0,0,0,0,0,0
,0,1390.48,0,0,0,0,0,1434.51,0,0,0,0,0,0,1436.52,0,0,0,0,0,0,0,0,0,0,1303.15,1394.41,0,0,0,0,0,1532.57,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1342.23,1314.43,0,0,0,0,1521.46,1330.87,0,0,0,0,0,0
,0,1390.48,0,0,0,0,0,1434.51,0,0,0,0,0,0,1436.52,0,0,0,0,0,0,0,0,0,0,1314.39,1414.78,0,0,0,0,0,1539.17,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1360.54,1314.43,0,0,0,0,1526.15,1310.5,0,0,0,0,0,0
,0,1397.67,0,0,0,0,0,1441.69,0,0,0,0,0,0,1405.48,0,0,0,0,0,0,0,0,0,0,1314.39,1414.78,0,0,0,0,0,1539.17,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1378.06,1314.43,0,0,0,0,1530.67,1341.54,0,0,0,0,0,0
,0,1415.36,0,0,0,0,0,1424.01,0,0,0,0,0,0,1370.4,0,0,0,0,0,0,0,0,0,0,1323.25,1429.95,0,0,0,0,0,1539.17,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1378.06,1314.43,0,0,0,0,1533.74,1341.54,0,0,0,0,0,0
,0,1415.36,0,0,0,0,0,1424.01,0,0,0,0,0,0,1370.4,0,0,0,0,0,0,0,0,0,0,1314.87,1440.64,0,0,0,0,0,1547.55,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1390.62,1314.43,0,0,0,0,1533.74,1349.09,0,0,0,0,0,0
,0,1424.17,0,0,0,0,0,1424.01,0,0,0,0,0,0,1356.02,0,0,0,0,0,0,0,0,0,0,1314.87,1447.24,0,0,0,0,0,1557.14,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1390.62,1314.43,0,0,0,0,1536.36,1349.09,0,0,0,0,0,0
,0,1424.17,0,0,0,0,0,1429.46,0,0,0,0,0,0,1356.02,0,0,0,0,0,0,0,0,0,0,1326.3,1447.24,0,0,0,0,0,1557.14,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1401.32,1314.43,0,0,0,0,1536.36,1361.6,0,0,0,0,0,0
,0,1444.38,0,0,0,0,0,1429.46,0,0,0,0,0,0,1367.18,0,0,0,0,0,0,0,0,0,0,1332.41,1447.24,0,0,0,0,0,1557.14,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1406.35,1314.43,0,0,0,0,1516.16,1361.6,0,0,0,0,0,0
,0,1444.38,0,0,0,0,0,1434.01,0,0,0,0,0,0,1372.82,0,0,0,0,0,0,0,0,0,0,1332.41,1429.43,0,0,0,0,0,1569.01,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1406.35,1314.43,0,0,0,0,1516.16,1370.71,0,0,0,0,0,0
,0,1418.99,0,0,0,0,0,1438.28,0,0,0,0,0,0,1372.82,0,0,0,0,0,0,0,0,0,0,1343.61,1441.63,0,0,0,0,0,1569.01,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1406.35,1314.43,0,0,0,0,1521.54,1376.23,0,0,0,0,0,0
,0,1422.75,0,0,0,0,0,1438.28,0,0,0,0,0,0,1382.27,0,0,0,0,0,0,0,0,0,0,1343.61,1441.63,0,0,0,0,0,1579.07,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1396.3,1314.43,0,0,0,0,1521.54,1376.23,0,0,0,0,0,0
,0,1422.75,0,0,0,0,0,1451.92,0,0,0,0,0,0,1382.27,0,0,0,0,0,0,0,0,0,0,1349.6,1447.62,0,0,0,0,0,1592.88,0,1316.4,0,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1401.1,1314.43,0,0,0,0,1507.73,1362.59,0,0,0,0,0,0
,0,1426.89,0,0,0,0,0,1451.92,0,0,0,0,0,0,1386.55,0,0,0,0,0,0,0,0,0,0,1349.6,1447.62,0,0,0,0,0,1594.88,0,1316.4,1321.03,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1401.1,1314.43,0,0,0,0,1507.73,1373.14,0,0,0,0,0,0
,0,1426.89,0,0,0,0,0,1459.11,0,0,0,0,0,0,1386.55,0,0,0,0,0,0,0,0,0,0,1359.34,1462.88,0,0,0,0,0,1594.88,0,1316.4,1321.03,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1430.43,1314.43,0,0,0,0,1487.73,1373.14,0,0,0,0,0,0
